Sentiment,CleanedText
Positive,['yawn']
Positive,"['even', 'valid', 'motorway']"
Negative,"['awwwpoor', 'like', 'xx']"
Negative,"['know', 'way', 'long']"
Negative,"['ltlt', 'hilarious', 'pretty', 'twittara', 'right', 'lol', 'even', 'though', 'followin', 'dread', 'ok', 'lol']"
Negative,"['cant', 'afford']"
Negative,"['ask', 'understood', 'job', 'amp', 'training', 'need', 'yeah', 'pure', 'jane', 'version', 'much', 'hissjust', 'bleating']"
Positive,"['lol', 'know', 'suck', 'jayks', 'big', 'toe']"
Negative,"['bc', 'cool', 'hate', 'twilight', 'nice', 'see', 'writer', 'try', 'something', 'new', 'vamp', 'see', 'good', 'film', 'come']"
Negative,"['miss', 'hair']"
Positive,"['kiss', 'boy', 'like', 'gnite', 'everyone']"
Positive,"['hope', 'hit', 'goal', 'weight', 'stay', 'healthy']"
Positive,"['whats', 'good', 'sir']"
Positive,"['confession', 'disney', 'channel', 'star', 'hahaha']"
Negative,"['man', 'listena', 'bamma', 'like', 'wear', 'dem', 'crinkle', 'minute', 'amp', 'theyll', 'fall', 'straight']"
Negative,"['miss', 'bby']"
Negative,"['sad', 'cant', 'play', 'sims', 'system']"
Negative,"['cut', 'beard', 'grow', 'well', 'year', 'im', 'gonna', 'start', 'happy', 'meantime']"
Positive,['thats']
Positive,"['mmm', 'sorta', 'like', 'mileybut', 'taylor', 'yeah', 'u']"
Negative,"['im', 'try', 'school', 'get', 'way']"
Positive,"['arent', 'go', 'go', 'bed']"
Positive,"['wow', 'thats', 'insane', 'oo', 'well', 'tell', 'get', 'work', 'want', 'try']"
Negative,"['idea', 'eat', 'gnome', 'make', 'sad']"
Negative,"['haha', 'cute', 'nugget', 'look', 'like', 'old', 'cat', 'desi', 'miss']"
Negative,"['seem', 'like', 'something', 'obvious', 'shouldnt', 'need', 'taught', 'person']"
Negative,"['hey', 'chantelle', 'mind', 'say', 'hey', 'miss', 'last', 'tweet', 'day', 'ago']"
Positive,"['girl', 'put', 'boyfriend', 'number', 'top', 'friend', 'myspace', 'doesnt', 'mean', 'broke']"
Positive,"['tea', 'thing', 'dont', 'worry', 'enjoy', 'occasional', 'costume', 'change', 'work', 'tomorrow', 'coffee', 'perhaps']"
Positive,"['yay', 'ugh', 'jealous', 'lt']"
Negative,"['cause', 'take']"
Positive,"['like', 'quotcaricaturequot', 'go', 'follow', 'culinary', 'trend', 'name', 'tempt']"
Positive,"['like', 'quotall', 'abovequot', 'best', 'answer']"
Positive,"['heelsandhightops', 'baybee', 'whoop', 'whoop', 'lol', 'preciate', 'ya']"
Negative,"['happy', 'birthday', 'dude', 'bad', 'youll', 'never', 'old']"
Negative,"['mean', 'one', 'thing', 'follow', 'really', 'want', 'love', 'listen']"
Negative,"['work', 'wifey']"
Positive,[]
Negative,"['dont', 'mind', 'people', 'talk', 'throat', 'kill', 'socan', 'shut', 'whole', 'day', 'please']"
Negative,['oh']
Negative,"['ur', 'alone', 'court', 'never', 'either']"
Negative,"['quoti', 'know', 'youre', 'still', 'feel', 'alonequot']"
Negative,"['college', 'start', 'tomorrow']"
Positive,"['get', 'watch', 'night', 'spoiler', 'comment']"
Negative,['eeeeeeeeeeeeli']
Negative,"['jasson', 'get', 'tomorrow', 'sure', 'totally', 'forgot']"
Positive,"['theyre', 'yet', 'remember', 'time', 'warner', 'lol']"
Positive,"['great', 'day', 'great', 'birthday']"
Positive,"['quotne', 'boy', 'study', 'gender', 'sexuality', 'pop', 'lyricsquot', 'gt', 'would', 'final', 'woman', 'study', 'project']"
Negative,"['oh', 'gosh', 'maria', 'good', 'cant', 'believe', 'im', 'car', 'watch']"
Positive,"['yeah', 'c', 'dont', 'worry', 'there', 'always', 'next', 'time']"
Negative,"['thats', 'hour', 'go', 'work']"
Negative,"['sorry', 'miss', 'trip', 'galleria']"
Negative,"['cant', 'download', 'v', 'would', 'related', 'marketplace', 'issue']"
Positive,"['send', 'love', 'sweden']"
Negative,"['thats', 'get', 'hit', 'lady', 'amp', 'gentle', 'throw', 'auto', 'tune', 'amp', 'wrap', 'oh', 'wait', 'jay', 'say', 'dead', 'lol']"
Negative,"['oooo', 'fair', 'nuff', 'mine', 'si', 'bday', 'throwingher', 'party', 'n', 'goin', 'cinema', 'wbu']"
Negative,"['way', 'much', 'mind', 'cool', 'people', 'cool', 'let', 'hope', 'work']"
Positive,"['follow', 'qiana', 'like', 'sport', 'gorgeous', 'say', 'go', 'tweet', 'person', 'get', 'la']"
Positive,"['really', 'yay']"
Negative,"['quottop', 'twitteringquot', 'maryland', 'cooky']"
Negative,"['aww', 'bless', 'hope', 'get', 'well', 'soon', 'yeah', 'must', 'hard', 'see', 'little', 'girl', 'pain', 'xxx']"
Negative,"['store', 'opening', 'priority', 'cant', 'must', 'practical', 'although', 'cant', 'help', 'wanna', 'scream', 'think', 'f']"
Negative,"['awish', 'reallly', 'hope', 'get', 'well', 'woke', 'really', 'gonna', 'break', 'fast', 'studyyyyyyyyy']"
Negative,"['u', 'hav', 'plan', 'anyway']"
Positive,"['oooohhand', 'ive', 'issue', 'inconsistancies', 'apple', 'software', 'use', 'absolutely', 'flawless']"
Negative,"['love', 'green', 'report']"
Negative,"['hard', 'believe', 'martin', 'first', 'hr', 'give', 'talent', 'unfortunately', 'jered', 'weaver', 'fantasy', 'team']"
Negative,"['go', 'email', 'cant', 'find', 'email', 'address', 'anywhere', 'internet', 'fail']"
Negative,"['burnt', 'tongue', 'hot', 'chocolate', 'downside']"
Positive,"['good', 'stick', 'thing', 'inspire', 'etc', 'exactly', 'bry']"
Positive,"['lmfaooo', 'okay', 'aint', 'suck', 'bad', 'lol']"
Positive,"['somehow', 'love', 'assumption', 'tweet', 'hehe', 'let', 'keep', 'assume', 'way']"
Positive,"['note', 'self', 'slip', 'banana', 'peel', 'threw', 'floor', 'room', 'thanks', 'ltcuntgt']"
Negative,"['morningany', 'idea', 'get', 'wisteria', 'bloomflower', 'neighbor', 'awesomemine', 'green']"
Negative,"['couldnt', 'help']"
Negative,"['miss', 'so', 'lol', 'oh', 'wellsomeone', 'elsell', 'come', 'along', 'loll']"
Positive,"['jonasfriends', 'vodkones', 'itahampjack', 'amo', 'vocs']"
Positive,"['yikes', 'watch', 'enough', 'tv', 'day', 'dont', 'know', 'im', 'instead', 'house', 'still', 'mess', 'good']"
Negative,"['hate', 'boyfriend', 'bad', 'day']"
Positive,"['vacation', 'hotel', 'lol', 'dont', 'wear', 'pjs', 'work', 'silly']"
Negative,"['ahh', 'yeah', 'cold', 'thesucky', 'im', 'fineits', 'sunny', 'amp', 'hot', 'im', 'stuck', 'inside', 'edit', 'video', 'weekend']"
Positive,"['wow', 'great', 'thanks', 'uhmm', 'anything', 'else', 'need']"
Positive,"['quoti', 'best', 'day', 'todayquot']"
Negative,"['team', 'lose']"
Positive,"['def', 'favorite', 'actor', 'everytime', 'youre', 'movie', 'gotta', 'see', 'youre', 'handsome', 'also', 'personality', 'role', 'bree']"
Positive,[]
Positive,"['quotyou', 'say', 'quotarling', 'happen', 'fall', 'asleep', 'carry', 'home', 'cuz', 'know', 'wasnt', 'herequotquot', 'goodnight', 'twitterererers']"
Positive,"['thanks', 'head', 'shiftclick', 'investigate', 'cheer']"
Negative,"['support', 'go', 'father', 'die', 'hodgkin', 'get', 'well', 'soon']"
Positive,['yes']
Positive,"['bring', 'breakfast', 'bar', 'today', 'instead', 'rachael']"
Positive,"['ant', 'please', 'say', 'hey', 'cara', 'nina', 'awesomee', 'x']"
Negative,"['malaysia', 'close', 'singaporewish', 'could', 'swim', 'visit']"
Positive,"['get', 'follower', 'day', 'use', 'wwwtweeteraddercom', 'add', 'everyone', 'train', 'pay', 'vip']"
Negative,"['please', 'talk']"
Negative,"['cry', 'sleepyour', 'always', 'mindbutt', 'feel', 'million', 'mile', 'away', 'memory', 'soo', 'close']"
Positive,"['day', 'like', 'day', 'forget', 'make', 'easy']"
Negative,"['miss', 'mooomoo']"
Negative,"['could', 'qirl', 'want', 'niqqa', 'doesnt', 'riqht', 'want', 'make', 'fool', 'psssh', 'u', 'must', 'crazi', 'cuz', 'iam']"
Negative,"['oh', 'haha', 'suck']"
Positive,"['news', 'also', 'sound', 'good', 'smilin']"
Positive,"['finally', 'update', 'computer', 'thank', 'dad']"
Positive,"['great', 'fun', 'make', 'feel', 'like', 'kid']"
Negative,"['hope', 'u', 'wonderful', 'timeif', 'live', 'italy', 'would', 'come', 'drinknever', 'mind', 'lol', 'x']"
Negative,"['tonight', 'im', 'gonna', 'miss', 'time', 'famous', 'last', 'word']"
Positive,"['movie', 'award', 'xd']"
Negative,"['feel', 'bad', 'woke', 'thats', 'awesome', 'addict']"
Positive,"['get', 'cab', 'back']"
Negative,"['sound', 'like', 'fun', 'webcam']"
Positive,"['hurt', 'understand', 'empathise', 'ill', 'always', 'hug', 'x']"
Negative,"['adele', 'relevent', 'moment', 'sure', 'feel', 'good', 'though', 'xx']"
Positive,"['follow', 'want', 'buy', 'whatever', 'fuck', 'youre', 'sell', 'please', 'gtfo', 'thanks']"
Positive,"['haha', 'see', 'millie', 'love', 'always', 'kind']"
Negative,"['take', 'grand', 'prix', 'ran', 'best', 'car', 'ever', 'goodnight', 'gm', 'smh']"
Positive,['noothing']
Positive,"['ahh', 'cool', 'cool', 'yeah', 'pree', 'good']"
Positive,"['well', 'mother', 'amp', 'grandma', 'bit', 'kid', 'mode']"
Negative,"['im', 'jealous', 'kinda', 'miss', 'guy']"
Negative,"['aww', 'man', 'thought', 'scream', 'excitement', 'gunna', 'tour', 'new', 'albumanywhere', 'new', 'mexicolt']"
Negative,"['keep', 'cough', 'sound', 'like', 'year', 'old', 'boy', 'hit', 'puberty', 'annnddd', 'bad', 'headache', 'world']"
Negative,['amp']
Positive,"['never', 'enough', 'jewellery', 'supply']"
Negative,"['live', 'stream', 'doesnt', 'work', 'firefox']"
Negative,['fuck']
Positive,"['u', 'mean', 'still', 'access', 'link', 'blog', 'btw', 'way', 'go']"
Positive,"['howdy', 'girl', 'dad', 'thing']"
Negative,"['miss', 'ya']"
Positive,"['least', 'u', 'travel', 'lol', 'sit', 'home', 'time', 'lt', 'though', 'homebody']"
Positive,"['nothing', 'song', 'im', 'good', 'girl']"
Positive,"['hows', 'u', 'lovely', 'day']"
Positive,['thing']
Positive,"['ok', 'beetje', 'laat', 'maar', 'breakfastpizza', 'student', 'alert', 'fav', 'dont', 'drink', 'till', 'end', 'hospital', 'jwz']"
Negative,"['yay', 'nothing', 'sound', 'excite']"
Positive,"['lol', 'nick', 'u', 'r', 'amaze', 'man', 'n', 'wonderful', 'baby', 'time', 'x']"
Positive,"['well', 'always', 'hawk', 'fun', 'chi', 'baseball', 'argument', 'never', 'hurt', 'anyone']"
Negative,"['ouch', 'guise', 'one', 'halo', 'war']"
Negative,[]
Positive,"['get', 'stuff', 'ready', 'tour', 'x']"
Positive,"['subway', 'healthy', 'nobrainer']"
Positive,"['thanks', 'give', 'shotminus', 'bra', 'im', 'still', 'coach']"
Negative,"['yeah', 'ive', 'see', 'wish', 'one', 'parent', 'im', 'rough', 'time', 'feel', 'like', 'im', 'lose', 'haze']"
Negative,"['hey', 'say', 'youd', 'tell']"
Negative,"['ok', 'fun']"
Positive,"['dont', 'like', 'folie', 'deux', 'like']"
Negative,"['get', 'photo', 'reset', 'n']"
Negative,"['iphone', 'o', 'work', 'well', 'old', 'g', 'handset', 'mm', 'though']"
Positive,"['heyyy', 'gawwwjusss', 'know', 'would', 'nice', 'kickin', 'mall', 'harass', 'folk', 'muah']"
Negative,"['well', 'sara', 'go', 'tomorrow', 'sound', 'like', 'shes', 'gonna', 'hate']"
Positive,"['quotget', 'rage', 'meit', 'take', 'dance', 'babyquot', 'listen', 'myspace']"
Negative,"['quotyou', 'think', 'day', 'ordinary', 'one', 'ever', 'think', 'hardly', 'breathe', 'without', 'youquot']"
Positive,['open']
Negative,"['yeah', 'man', 'willi', 'use', 'logictwo', 'year', 'im', 'still', 'learninggotta', 'work', 'today', 'though', 'beat', 'till', 'later']"
Positive,"['np', 'guess', 'new', 'idea', 'hope', 'prevent', 'explode']"
Positive,"['cuzns', 'softball', 'gamee']"
Positive,['genetics']
Negative,"['there', 'something', 'fly', 'around', 'house', 'buzzing', 'dont', 'know']"
Positive,"['gotta', 'go', 'drive', 'dad', 'around', 'today', 'ill', 'back', 'afternoon']"
Negative,"['ya', 'im', 'sure', 'get', 'thing', 'though', 'lol', 'miss', 'tonight', 'btw']"
Positive,"['amaze', 'bjork', 'bachelorette']"
Negative,"['whats', 'wrong', 'ichat', 'gggarmen']"
Positive,"['hehehe', 'fun', 'though']"
Negative,"['dont', 'borrow', 'ill', 'burn', 'youdin', 'din', 'tomrowo', 'sorry', 'didnt', 'reply', 'email', 'today', 'training', 'someone', 'today']"
Positive,"['love', 'tough', 'love', 'make', 'roll', 'laugh']"
Negative,"['damn', 'bae', 'wish', 'could', 'make', 'feel', 'well']"
Negative,"['yeah', 'id', 'still', 'wish', 'cud', 'go', 'manila', 'meet', 'guy']"
Negative,"['headphone', 'r', 'locker']"
Negative,['confuse']
Positive,"['great', 'shot', 'hero', 'aron']"
Negative,"['oo', 'yes', 'get', 'one', 'get', 'stuck']"
Negative,"['anymore', 'youre', 'log', 'first', 'time', 'year']"
Negative,[]
Positive,['helloo']
Negative,"['quotnever', 'leave', 'till', 'life', 'do', 'baby', 'love', 'come', 'come', 'armsquot']"
Negative,"['im', 'good', 'im', 'good', 'really', 'hungry', 'wat', 'u', 'gonna', 'make']"
Negative,"['reminds', 'grandma']"
Negative,"['forgotmissed', 'though', 'gutted']"
Negative,[]
Negative,"['oh', 'well', 'least', 'suzumiya', 'haruhi', 'yuuutsu', 'air']"
Positive,"['alexis', 'castle', 'daughter', 'shes', 'awesome']"
Positive,"['dont', 'look', 'priest', 'pastor', 'meaning', 'life', 'look', 'bible', 'call', 'crazy', 'right', 'reason', 'least']"
Negative,"['damn', 'dont', 'sky']"
Negative,"['legally', 'noone', 'allow', 'copy', 'forward', 'press', 'coverage', 'there', 'even', 'govern', 'body', 'allow']"
Negative,"['lolmy', 'calf', 'skinny', 'bird', 'leg', 'cant', 'fill']"
Positive,"['oooo', 'sound', 'good', 'wanna', 'collab', 'cannel']"
Positive,"['danger', 'danger', 'hello', 'hollywood', 'lt', 'theyre', 'good']"
Negative,"['lol', 'really', 'need', 'something', 'sad', 'thing', 'everyday']"
Positive,"['long', 'piece', 'string', 'passing', 'qa', 'push', 'live', 'two', 'separate', 'process', 'sometimes', 'day', 'sometimes', 'week']"
Negative,"['jeep', 'break', 'put', 'sale', 'person', 'buy', 'run', 'perfect', 'drive', 'wtf']"
Negative,"['lot', 'small', 'thing', 'nice', 'time', 'year']"
Negative,"['sad', 'day', 'mewish', 'workhappy', 'mother', 'day', 'mom']"
Positive,"['haha', 'lol', 'ur', 'gonna', 'say', 'happy', 'birthday', 'friend', 'sarah', 'see', 'th', 'july', 'shes', 'gonna', 'die']"
Negative,"['soma', 'im', 'exactly', 'close']"
Positive,"['sound', 'like', 'book', 'arrive', 'wink']"
Positive,"['love', 'song', 'say']"
Negative,"['really', 'wanna', 'go', 'see', 'miley', 'since', 'im', 'already', 'go', 'see', 'demi', 'know', 'maybe']"
Negative,"['ok', 'lang', 'yan', 'cha', 'ako', 'nga', 'yesterday', 'binondo', 'go', 'subic']"
Positive,"['tweetup', 'time']"
Positive,"['lol', 'best']"
Positive,"['lol', 'ok', 'thanks', 'anyway', 'watcha']"
Negative,"['wt', 'shall', 'austin', 'im', 'already', 'broke', 'cant', 'even', 'buy', 'u', 'booze']"
Positive,"['lol', 'need', 'spoonfull', 'honey', 'stay', 'away', 'bake', 'good', 'feel', 'well']"
Positive,"['google', 'xml', 'sitemaps', 'knight', 'cydonia', 'liz', 'comment', 'counter', 'ozh', 'howdy', 'ozh', 'well', 'plugin', 'page', 'wpflv', 'wp', 'wetfloor']"
Positive,"['active', 'tb', 'early', 'adopter', 'developer', 'like', 'chip', 'amp', 'say', 'new', 'refining', 'take', 'time', 'amp', 'feedbaks']"
Negative,"['im', 'tire', 'spending', 'money', 'tire', 'cause', 'get', 'nothin', 'show']"
Positive,"['hmm', 'thanks', 'havent', 'watch', 'show', 'yet', 'watch', 'wanna', 'read', 'basic', 'book', 'first']"
Negative,"['miss', 'idol']"
Negative,"['msn', 'ill', 'sign', 'wont', 'bother', 'rachel', 'go', 'home']"
Positive,"['love', 'drive', 'school', 'darlin', 'ill', 'home', 'thurs']"
Negative,"['lt', 'notice', 'still', 'didnt', 'say', 'gonna', 'call', 'lol']"
Negative,"['throw', 'hair', 'makeup', 'ok', 'look', 'like', 'shit', 'orange', 'hair', 'gonna', 'cry']"
Positive,"['yes', 'tell', 'right', 'favorite', 'episode', 'smiletime']"
Negative,"['nf', 'tweet', 'count']"
Positive,"['mum', 'buzzing', 'meeting', 'favourite', 'singer', 'christy', 'moore', 'get', 'autograph', 'bless', 'make', 'chuckle']"
Negative,"['im', 'realy', 'tire', 'cant', 'sleep', 'sum', 'wana', 'sing', 'lullby', 'read', 'bed', 'time', 'story', 'lol']"
Negative,"['ewww', 'thats', 'one', 'expensive', 'net', 'bill']"
Negative,"['awesome', 'yeah', 'work', 'place', 'lot', 'thing', 'block']"
Positive,"['yes', 'know', 'im', 'get', 'job', 'might', 'get', 'one', 'im', 'satisfied', 'blackberry', 'flip']"
Positive,"['ur', 'amaze', 'please', 'folow']"
Negative,"['maybe', 'someone', 'try', 'hack']"
Positive,"['woooo', 'hooo', 'congrats', 'cant', 'wait', 'see', 'final', 'project', 'complete']"
Negative,"['hahahaa', 'im', 'think', 'arbys']"
Positive,"['yh', 'need', 'friend', 'otherwise', 'lead', 'boring', 'solitary', 'life', 'friend', 'bring', 'alternative', 'excitement', 'life']"
Positive,"['lol', 'dont', 'get', 'fire', 'lol', 'keep', 'arockin']"
Positive,"['quotwhatwhwhat', 'im', 'still', 'farquot', 'sleeptalk']"
Positive,"['lmao', 'imagine', 'regret', 'would', 'alot', 'sore', 'shin']"
Positive,"['ahhh', 'vagary', 'travel', 'eu', 'airlineair', 'traffic', 'controllersetc', 'strike', 'time']"
Positive,"['im', 'go', 'bed', 'nitey', 'nite', 'everyone']"
Positive,"['oh', 'hmm', 'maybe', 'youve', 'turn', 'oh', 'yeah', 'best', 'assist', 'likely', 'see', 'life', 'fun', 'living', 'safeway', 'tomorrow', 'derro']"
Negative,"['last', 'time', 'checked', 'still', 'showcase', 'online', 'checked', 'niether']"
Positive,"['know', 'shouldi', 'forget', 'whats', 'upummm', 'nothing', 'im', 'lazy']"
Negative,"['twitter', 'specifically']"
Negative,"['fatigon', 'worki', 'might', 'need', 'energy', 'boostersince', 'flight', 'arrives', 'midnite', 'ive', 'go', 'work', 'hr']"
Positive,"['oh', 'believe', 'misunderstand', 'love', 'pearl', 'jam', 'unknowing', 'youre', 'know', 'make', 'bad', 'friend']"
Negative,"['im', 'sorry', 'loss']"
Positive,"['think', 'u', 'afterparty', 'beale', 'street', 'memphis', 'show', 'amp', 'fly', 'wichita', 'ill', 'look', 'ticket', 'price', 'u']"
Negative,"['ok', 'sniff', 'almost', 'cry', 'song', 'manage', 'hold', 'somehow', 'poor', 'robin', 'look', 'really', 'really', 'sick']"
Negative,"['listen', 'new', 'music', 'wear', 'head', 'phone', 'cant', 'hear']"
Negative,"['sigh', 'wonder', 'upload', 'website', 'design', 'everyones', 'busy', 'even', 'integrate', 'wordpress']"
Negative,"['need', 'good', 'moan', 'hug']"
Positive,"['dont', 'add', 'anyone', 'new', 'least', 'couple', 'time', 'waste', 'time', 'otherwise']"
Positive,"['try', 'help', 'get', 'pretty', 'new', 'shoe', 'im', 'glad', 'youre', 'like', 'eyre', 'affair']"
Negative,"['dont', 'know', 'guy', 'ur', 'smile', 'help', 'pick', 'thanks', 'christine', 'im', 'still', 'bed', 'hate', 'sick']"
Positive,"['really', 'calvin', 'harris']"
Positive,"['talk', 'note', 'philosohy', 'personal', 'dress']"
Negative,"['long', 'day']"
Positive,"['warm', 'literally', 'amp', 'cozy', 'zsofi', 'chillout', 'ambience', 'join', 'u', 'next', 'time']"
Negative,"['argghhh', 'told', 'wouldnt', 'watch', 'bb', 'year', 'yet', 'find', 'watch', 'faithfully']"
Positive,"['love', 'plastic', 'zipbagsi', 'know', 'green', 'soo', 'many', 'usesnow', 'know', 'new', 'onekeep', 'plague', 'ratsies', 'fresh']"
Positive,"['im', 'actually', 'film', 'tweet', 'right']"
Negative,"['get', 'talk']"
Positive,['quotcaughtquot']
Positive,"['he', 'great', 'man', 'im', 'sorry', 'never', 'met', 'er', 'yr', 'ago']"
Positive,"['spread', 'kiss', 'good', 'night', 'everybody']"
Positive,"['hear', 'barely', 'get', 'morning', 'ive', 'lose', 'sleep']"
Positive,"['yay', 'insomnia']"
Negative,"['karen', 'anymore']"
Positive,"['people', 'recommend', 'others', 'follow', 'like', 'followfriday', 'pic']"
Negative,"['nothing', 'meant', 'college', 'work', 'really', 'work']"
Negative,"['sorry', 'head', 'home']"
Negative,"['guy', 'north', 'fun']"
Positive,['happy']
Negative,"['towed', 'fxcking', 'shit']"
Positive,"['funnnnnnnn', 'take', 'lot', 'picture']"
Negative,"['yawn', 'tire']"
Positive,"['lucky', 'bizznitch', 'follower', 'lmao', 'xd', 'im', 'glad', 'fun', 'festival', 'news', 'lu', 'trip', 'status', 'lol', 'ilyt']"
Positive,"['amjust', 'go', 'leave', 'haircut', 'shud', 'get']"
Negative,"['point', 'anywhere', 'ive', 'put', 'apps', 'like', 'every', 'dept', 'store', 'sville', 'one', 'want', 'lol']"
Negative,"['think', 'sponsor', 'free']"
Negative,"['didnt', 'turn', 'finish', 'gutted', 'lol']"
Positive,"['belly', 'dance']"
Positive,"['good', 'sleep', 'amanda']"
Positive,"['forget', 'shower', 'rain', 'gt', 'onto', 'play', 'nhl', 'gt', 'shut', 'life']"
Positive,"['thank', 'hope', 'good', 'luck', 'altho', 'see', 'smidge', 'blue', 'sky', 'come', 'maybe', 'there', 'still', 'hope']"
Negative,"['awww', 'sorry']"
Positive,"['nice', 'ill', 'check']"
Negative,"['look', 'like', 'raleigh', 'nc', 'closest', 'show', 'va', 'beach', 'dc']"
Positive,"['like', 'word', 'wisdom']"
Positive,"['cruel', 'intention']"
Negative,"['lucky', 'want', 'la']"
Negative,"['art', 'watch', 'fall']"
Negative,"['nah', 'seriously', 'wha', 'happen']"
Negative,"['go', 'lol', 'get', 'ready', 'go']"
Negative,"['day', 'bleugh', 'get', 'stiff', 'sore', 'leg', 'dunno', 'happen']"
Negative,"['think', 'day', 'x']"
Positive,"['take', 'umbrella', 'cant', 'gorgeous', 'long', 'pommyland']"
Negative,"['vid', 'youtube', 'take', 'insanely', 'long', 'time']"
Negative,"['go', 'mental']"
Negative,"['open', 'currently', 'average']"
Positive,"['hi', 'spain', 'magnific', 'zoolander']"
Positive,"['hmm', 'look', 'like', 'spymaster', 'public', 'beta', 'nevertheless', 'thanks', 'invite']"
Positive,"['hope', 'great', 'trip', 'america', 'treat', 'well', 'bless', 'dayltim', 'youth']"
Negative,"['watch', 'sky', 'look', 'like', 'really', 'great', 'movie', 'listen', 'shaky', 'camera', 'style', 'make', 'dizzy', 'pity']"
Positive,"['thanks', 'ff', 'much', 'appreciate']"
Positive,"['youre', 'welcome', 'disturb']"
Positive,"['love', 'id', 'like', 'point', 'im', 'involve', 'game', 'development']"
Positive,"['bout', 'damn', 'time', 'also', 'reserve', 'sarcasmagorical', 'case']"
Positive,"['animation', 'slow', 'man', 'let', 'rest', 'catch', 'well', 'wont', 'animation', 'good']"
Positive,"['youll', 'end', 'finalist', 'im', 'sure', 'beating', 'demi', 'moore', 'right']"
Negative,"['ugh', 'wish', 'come', 'toooooooo']"
Positive,"['rain', 'free', 'extra', 'wind']"
Negative,"['hey', 'song', 'def', 'leppard', 'miss']"
Positive,['lubericant']
Negative,"['hope', 'get', 'ticket', 'see', 'passion', 'pit']"
Negative,"['shes', 'say', 'thanks', 'shell', 'facebook', 'minute', 'still', 'manage', 'convert', 'twitter']"
Negative,"['yeah', 'best', 'part', 'pen', 'im', 'mad', 'right']"
Negative,"['sure', 'fever', 'threw', 'lunch', 'way', 'home', 'school', 'poor', 'little', 'guy', 'look', 'miserable']"
Positive,"['hate', 'r']"
Negative,"['im', 'sorry', 'hear', 'im', 'confident', 'make', 'decision', 'thats', 'best', 'youyou', 'prayer']"
Negative,"['umm', 'sound', 'good', 'bit', 'bulky', 'likin', 'like', 'compact', 'glue', 'bend', 'type', 'car', 'ohh', 'miss', 'drivin']"
Negative,"['feel', 'sick', 'go', 'tonight', 'im', 'like', 'totlaly', 'fluey', 'go', 'drs', 'get', 'drug']"
Negative,"['dont', 'know', 'problem']"
Positive,"['heyy', 'love', 'fuck', 'shaun', 'love']"
Negative,"['girlsdid', 'forget', 'wife', 'get', 'dm', 'cry']"
Negative,"['u', 'comin', 'u', 'playin', 'u']"
Negative,"['want', 'taj', 'win']"
Negative,"['true', 'wasnt', 'nice', 'mini', 'cat', 'though', 'kept', 'lose', 'amp', 'scar', 'kitten', 'co', 'hate', 'spider']"
Positive,"['im', 'gonna', 'watch', 'hill', 'well']"
Positive,"['think', 'three', 'streak', 'sound', 'good']"
Negative,"['unfortunately', 'dont', 'anything', 'promise', 'ill', 'write', 'something', 'soon', 'xd']"
Positive,"['um', 'im', 'pretty', 'sure', 'he', 'lakers', 'fan', 'thats', 'want', 'bull', 'runner']"
Positive,"['omg', 'love', 'quothes', 'youquot', 'saw', 'movie', 'true', 'funny']"
Positive,"['ahhh', 'return', 'hiding']"
Negative,"['love', 'someone', 'much', 'hardly', 'breathe', 'know', 'theyre', 'upset', 'forget', 'much', 'mean', 'sometimes']"
Negative,"['sunburnt', 'sweaty']"
Positive,"['quotninlawquot', 'cmt', 'never', 'thought', 'id', 'watch', 'channel', 'gah', 'damn', 'use', 'watch', 'movie', 'lot', 'kid', 'w', 'little', 'sister']"
Negative,"['yeah', 'doesnt', 'make', 'less', 'hungry', 'right']"
Negative,"['oh', 'decide', 'ignore', 'calendar', 'application', 'plan', 'getaway', 'weekend', 'realize', 'miss', 'sunday']"
Positive,"['true', 'haha', 'really', 'want', 'tomorrow', 'thursday', 'lol', 'cant', 'wait', 'story', 'swap', 'miisssss', 'youu', 'tooo']"
Positive,"['daniel', 'merriweather', 'new', 'album', 'today', 'buy', 'stupid']"
Positive,['awesome']
Negative,[]
Positive,"['try', 'hope', 'quotfoldin', 'moneyquot', 'nite', 'johnny', 'kemp', 'quotjust', 'get', 'paidquot', 'soul', 'train', 'video']"
Negative,"['wasnt', 'able', 'make', 'fre', 'chaka', 'khan', 'concert', 'dc', 'shake', 'fist']"
Positive,"['thank', 'help', 'thing', 'get', 'start']"
Positive,"['ha', 'ha', 'ha', 'leech', 'close', 'nd', 'id', 'say']"
Positive,"['yeah', 'well', 'fast']"
Positive,"['twitter', 'oddly', 'enough', 'iwont', 'name', 'sham', 'cock', 'like', 'canary', 'clit', 'im', 'always', 'vile', 'sorry']"
Positive,"['link', 'send', 'show', 'result']"
Negative,"['amp', 'mom', 'give', 'hella', 'attitude', 'reason', 'ugh', 'fml']"
Negative,"['awwwww', 'come', 'back', 'worldswere', 'sorry']"
Positive,"['haha', 'yeah', 'lucky', 'really', 'sister', 'perth']"
Positive,"['si', 'house', 'relax']"
Negative,"['didnt', 'get', 'tmrw']"
Negative,"['eww', 'imagine', 'cant', 'use', 'neem', 'oil', 'im', 'horribly', 'allergic']"
Positive,"['amp', 'also', 'fuck', 'obnoxious', 'one', 'like', 'oh', 'amp', 'btw', 'love', 'boyfriend']"
Positive,"['goina', 'look', 'awwsum', 'xox']"
Negative,"['thats', 'sadshes', 'back', 'home']"
